category,stimulus,conceptual,perceptual,rt,n,typicality,p_typicality,p_conceptual,p_perceptual
kitchens,stimuli/kitchen/img_j5rpx.png,72.24242424242425,50,7392.454545454545,33,61.12121212121212,5,5,5
kitchens,stimuli/kitchen/img_79b5l.png,72.74285714285715,53.31428571428572,7488.971428571429,35,63.02857142857143,6,6,6
kitchens,stimuli/kitchen/img_cxpff.png,74.92307692307692,53.28205128205128,8353.102564102564,39,64.1025641025641,6,6,6
kitchens,stimuli/kitchen/img_di49w.png,73.03125,52.25,46349.3125,32,62.640625,6,6,6
kitchens,stimuli/kitchen/img_p3hpc.png,72.83333333333333,52.22222222222222,9217.305555555555,36,62.52777777777777,6,6,6
kitchens,stimuli/kitchen/img_lpj57.png,74.77777777777777,54.44444444444444,8525.518518518518,27,64.61111111111111,6,6,6
kitchens,stimuli/kitchen/img_u9f9l.png,77.78571428571429,57.25,7173.035714285715,28,67.51785714285714,7,7,7
kitchens,stimuli/kitchen/img_fhm45.png,76.75,57.71875,7587.90625,32,67.234375,7,7,7
kitchens,stimuli/kitchen/img_eppte.png,78.42424242424242,57.03030303030303,5433.212121212121,33,67.72727272727272,7,7,7
kitchens,stimuli/kitchen/img_qihxi.png,76.72222222222223,56.33333333333334,6157.944444444444,36,66.52777777777779,7,7,7
kitchens,stimuli/kitchen/img_6nbgt.png,78.45161290322581,57.83870967741935,7292.419354838709,31,68.14516129032258,7,7,7
kitchens,stimuli/kitchen/img_xti0z.png,81.40625,61.4375,6021.90625,32,71.421875,8,8,8
kitchens,stimuli/kitchen/img_uwv6y.png,78.88888888888889,59.30555555555556,6451,36,69.09722222222223,8,8,8
kitchens,stimuli/kitchen/img_01w8b.png,78.91891891891892,61.21621621621622,6783.648648648648,37,70.06756756756756,8,8,8
kitchens,stimuli/kitchen/img_7pgd2.png,78.59375,57.84375,6992.03125,32,68.21875,8,7,7
kitchens,stimuli/kitchen/img_uegbb.png,78.80952380952381,61.52380952380953,10495.78571428571,42,70.16666666666667,8,8,8
kitchens,stimuli/kitchen/img_p659z.png,84.21621621621621,65.37837837837837,8492.108108108108,37,74.79729729729729,9,9,9
kitchens,stimuli/kitchen/img_qmgwq.png,84.58333333333333,64.44444444444444,7894.833333333333,36,74.51388888888889,9,9,9
kitchens,stimuli/kitchen/img_mawe6.png,83.48387096774194,65.54838709677419,6733.709677419355,31,74.51612903225806,9,9,9
kitchens,stimuli/kitchen/img_57os5.png,82.70588235294117,65.73529411764706,10224.02941176471,34,74.22058823529412,9,9,9
kitchens,stimuli/kitchen/img_sfq2m.png,83.82142857142857,65.21428571428571,6432.821428571428,28,74.51785714285714,9,9,9
kitchens,stimuli/kitchen/img_qmand.png,86.11764705882354,71.02941176470588,13945.82352941176,34,78.57352941176471,10,10,10
kitchens,stimuli/kitchen/img_s9are.png,90.14285714285714,75.22857142857143,6064.8,35,82.68571428571428,10,10,10
kitchens,stimuli/kitchen/img_d8xbu.png,91.36363636363636,73.18181818181819,5889.848484848485,33,82.27272727272728,10,10,10
kitchens,stimuli/kitchen/img_72hmj.png,89.02777777777777,69.05555555555556,10196.22222222222,36,79.04166666666666,10,10,10
kitchens,stimuli/kitchen/img_nzqfw.png,86.87096774193549,67.83870967741936,6118.290322580645,31,77.35483870967742,10,10,10
living_rooms,stimuli/living_room/img_nb8p4.png,16.36170212765957,12.70212765957447,6272.893617021276,47,14.53191489361702,1,1,1
living_rooms,stimuli/living_room/img_of8d6.png,26.04878048780488,19.14634146341463,11642.26829268293,41,22.59756097560975,1,1,1
living_rooms,stimuli/living_room/img_b17ma.png,23.0625,13.375,60320.0625,48,18.21875,1,1,1
living_rooms,stimuli/living_room/img_c0vzo.png,21.51162790697675,8.232558139534884,7525.441860465116,43,14.87209302325581,1,1,1
living_rooms,stimuli/living_room/img_81nb0.png,24.55555555555556,14.62222222222222,8139.488888888889,45,19.58888888888889,1,1,1
living_rooms,stimuli/living_room/img_3ze38.png,35.53191489361702,28.4468085106383,6701.106382978724,47,31.98936170212766,2,2,2
living_rooms,stimuli/living_room/img_pjfx6.png,32.23404255319149,26.59574468085106,8412.659574468085,47,29.41489361702127,2,2,2
living_rooms,stimuli/living_room/img_astid.png,31.04761904761905,25.54761904761905,9453.92857142857,42,28.29761904761905,2,2,2
living_rooms,stimuli/living_room/img_bbs77.png,31.64444444444445,21.26666666666667,8764.955555555556,45,26.45555555555556,2,2,2
living_rooms,stimuli/living_room/img_mdh76.png,37.31914893617022,25.12765957446809,12794.23404255319,47,31.22340425531915,2,2,2
living_rooms,stimuli/living_room/img_q9lab.png,53.97560975609756,32.90243902439025,7938.073170731707,41,43.4390243902439,3,3,3
living_rooms,stimuli/living_room/img_vnxft.png,53.22727272727273,34.84090909090909,10631.40909090909,44,44.03409090909091,3,3,3
living_rooms,stimuli/living_room/img_yosqb.png,50.88372093023256,30.11627906976744,8911.976744186046,43,40.5,3,3,3
living_rooms,stimuli/living_room/img_hmmra.png,54.65853658536585,34.24390243902439,9613.634146341463,41,44.45121951219512,3,3,3
living_rooms,stimuli/living_room/img_3jnt7.png,49.52272727272727,35.25,21587.81818181818,44,42.38636363636364,3,3,3
living_rooms,stimuli/living_room/img_6a0hu.png,61.275,42.025,11841.625,40,51.65,4,4,4
living_rooms,stimuli/living_room/img_wbws6.png,57.97777777777777,42.53333333333333,8494.711111111112,45,50.25555555555555,4,4,4
living_rooms,stimuli/living_room/img_w8yhd.png,55.74418604651163,38.90697674418605,8046.302325581395,43,47.32558139534883,4,4,4
living_rooms,stimuli/living_room/img_02alv.png,61.8,37.8,8549.066666666668,45,49.8,4,4,4
living_rooms,stimuli/living_room/img_njhlh.png,59.74418604651163,41.51162790697674,8476.744186046511,43,50.62790697674419,4,4,4
living_rooms,stimuli/living_room/img_73pyk.png,69.27659574468085,47.27659574468085,10809.65957446809,47,58.27659574468085,5,5,5
living_rooms,stimuli/living_room/img_eiu3c.png,65.1590909090909,46.22727272727273,9822.772727272728,44,55.69318181818181,5,5,5
living_rooms,stimuli/living_room/img_s2zoe.png,64.71428571428571,44.90476190476191,7655.023809523809,42,54.80952380952381,5,5,5
living_rooms,stimuli/living_room/img_zxvl3.png,68.78260869565217,47.56521739130435,8247.630434782608,46,58.17391304347827,5,5,5
living_rooms,stimuli/living_room/img_koooi.png,63.95454545454545,44.56818181818182,9577.59090909091,44,54.26136363636364,5,5,5
living_rooms,stimuli/living_room/img_ra2nm.png,70.75,50.375,21970.525,40,60.5625,6,6,6
living_rooms,stimuli/living_room/img_53nbn.png,73.28888888888889,51.15555555555556,10667.53333333333,45,62.22222222222223,6,6,6
